ds,yhat
2021-10-13,10187.002778066273
2021-10-14,8343.924224072576
2021-10-15,6072.622370858067
2021-10-16,6433.272593697435
2021-10-17,13890.780113364366
2021-10-18,14693.587692895238
2021-10-19,12328.035482162157
2021-10-20,11210.857749813244
2021-10-21,9567.312287256838
2021-10-22,7456.505651882004
2021-10-23,7933.645705469635
2021-10-24,15459.984685642701
2021-10-25,16281.714054917464
2021-10-26,13884.370534841586
2021-10-27,12685.337194778764
2021-10-28,10911.935730178186
2021-10-29,8626.674648850638
2021-10-30,8889.387518610012
2021-10-31,16167.02827044376
2021-11-01,16712.389617594778
2021-11-02,14018.308891138258
2021-11-03,12509.952478111958
2021-11-04,10422.68036080743
2021-11-05,7827.0628814726
2021-11-06,7790.790615658918
2021-11-07,14788.251036944695
2021-11-08,15079.04424545562
2021-11-09,12162.008448468681
2021-11-10,10467.350259074037
2021-11-11,8234.38673161103
2021-11-12,5536.4739045398765
2021-11-13,5442.865033922433
2021-11-14,12428.273256909792
2021-11-15,12751.410868148521
2021-11-16,9909.074671058115
2021-11-17,8328.370154330813
2021-11-18,6244.57808104605
2021-11-19,3726.2340255090003
2021-11-20,3837.159031722187
2021-11-21,11046.210509424061
2021-11-22,11606.019485600154
2021-11-23,9007.277355125116
2021-11-24,7671.158502741438
2021-11-25,5827.376141421795
2021-11-26,3539.435985293221
2021-11-27,3866.820519955614
2021-11-28,11274.868244518717
2021-11-29,12013.610074191618
2021-11-30,9572.12304905881
2021-12-01,8370.985743545916
2021-12-02,6640.33182271246
2021-12-03,4445.066569326118
2021-12-04,4846.980446376978
2021-12-05,12314.526426501985
2021-12-06,13101.526615900248
2021-12-07,10701.372535475126
2021-12-08,9539.308419388077
2021-12-09,7850.29953942983
2021-12-10,5704.05636582779
2021-12-11,6166.954858351972
2021-12-12,13711.625898535158
2021-12-13,14595.4855270948
2021-12-14,12314.776155410016
2021-12-15,11296.713406574007
2021-12-16,9777.245215732451
2021-12-17,7825.9978039248
2021-12-18,8508.151685607996
2021-12-19,16294.022558292469
2021-12-20,17437.619487184173
2021-12-21,15430.750185209174
2021-12-22,14695.266564436444
2021-12-23,13460.954636631383
2021-12-24,11790.63982470944
2021-12-25,12742.246393345078
2021-12-26,20778.580624776754
2021-12-27,22146.104312931428
2021-12-28,20329.262089113272
2021-12-29,19742.94920696427
2021-12-30,18610.617248621606
2021-12-31,16989.58232585033
2022-01-01,17933.268318974177
2022-01-02,25901.149119825306
2022-01-03,27137.651468523814
2022-01-04,25126.5777406898
